doc_index,filename,doi,titulo,topico_dominante
56,10.18860_egalita.v15i2.10805.pdf,10.18860/egalita.v15i2.10805,WOMEN IN EDUCATIONAL LEADERSHIP FROM ISLAMIC PERSPECTIVES,9
57,10.3389_feduc.2020.00052.pdf,10.3389/feduc.2020.00052,"“Unbroken, but Bent”: Gendered Racism in School Leadership",18
58,10.3389_fpsyg.2023.1280038.pdf,10.3389/fpsyg.2023.1280038,Measuring educational leadership in Singapore: re-examining the psychometric properties of the Multifactor Leadership Questionnaire,14
59,10.47175_rielsj.v5i2.1005.pdf,10.47175/rielsj.v5i2.1005,Fostering Collaboration and Team Effectiveness in Educational Leadership: Strategies for Building High-Performing Teams and Networks,16
60,10.24331_ijere.676915.pdf,10.24331/ijere.676915,Social-Emotional Educational Leadership: A Study of Scale Adaptation,14
61,10.52296_vje.2021.54.pdf,10.52296/vje.2021.54,Educational Leadership in the U.S. and Vietnam: A Cross-Culture Comparative Study,20
62,10.33122_ejeset.v4i1.100.pdf,10.33122/ejeset.v4i1.100,The influence of educational leadership on students’ academic performance in secondary schools: A case of Itilima district,16
63,10.60027_jelr.2024.793.pdf,10.60027/jelr.2024.793,Components and Indicators of Educational Leadership,16
64,10.63283_54wxa275.pdf,10.63283/54wxa275,Educational Leadership in a Digital Era: Navigating Challenges and Opportunities,3
65,10.33193_ejhas.7.2023.244.pdf,10.33193/ejhas.7.2023.244,The Role of Transformational Educational Leadership in Developing the Saudi University System,16
66,10.1007_s12630-020-01738-w.pdf,10.1007/s12630-020-01738-w,Anesthesia environmental sustainability programs—a survey of Canadian department chiefs and residency program directors,11
67,10.3389_feduc.2023.1201698.pdf,10.3389/feduc.2023.1201698,Marianismo and the changing role of Latinas in educational leadership,9
68,10.1371_journal.pone.0291278.pdf,10.1371/journal.pone.0291278,The well-being and work-related stress of senior school leaders in Wales and Northern Ireland during COVID-19 “educational leadership crisis”: A cross-sectional descriptive study,18
69,10.1177_1741143219896053.pdf,10.1177/1741143219896053,A systematic review of principals’ leadership identity from 1993 to 2019,20
70,10.35335_jiph.v11i3.24.pdf,10.35335/jiph.v11i3.24,Educational Leadership and Learning Quality: The Influence of the Princi-pal's Leadership Style on Teacher Performance,16
71,10.37231_jmtp.2021.2.2.105.pdf,10.37231/jmtp.2021.2.2.105,A Conceptual Paper for Educational Leadership Models in Malaysia,16
72,10.3389_feduc.2022.982952.pdf,10.3389/feduc.2022.982952,Leading the way–Understanding women’s university leadership during crisis through a feminist educational leadership lens,9
73,10.1007_978-3-031-38890-3.pdf,10.1007/978-3-031-38890-3,Educational Leadership in Times of Crisis,9
74,10.4108_eai.20-9-2022.2324591.pdf,10.4108/eai.20-9-2022.2324591,Agile Methodology in Educational Leadership: Scrum,3
75,10.1007_978-3-031-37604-7_4.pdf,10.1007/978-3-031-37604-7_4,Towards a Multi-form Professional Development of Educational Leadership,9
76,10.35723_ajie.v8i1.339.pdf,10.35723/ajie.v8i1.339,Model of Educational Leadership Management in Boarding Schools,5
77,10.29173_iasl8023.pdf,10.29173/iasl8023,School Librarians and Educational Leadership: Productive Pedagogy for the Information Age School,3
78,10.5430_wje.v13n4p16.pdf,10.5430/wje.v13n4p16,Critique of Research Methodologies and Methods in Educational Leadership,9
79,10.3389_feduc.2022.983807.pdf,10.3389/feduc.2022.983807,Continuous professional development programmes for school principals in the 21st century: Lessons learned from educational leadership practices,11
80,10.35484_pssr.2021(5-iv)37.pdf,10.35484/pssr.2021(5-iv)37,A Comparative Analysis of Gender and Educational Leadership in Pakistan and the United Kingdom,9
81,10.1007_978-3-031-37604-7_10.pdf,10.1007/978-3-031-37604-7_10,Moral Professionalism in the Context of Educational Leadership,9
82,10.3389_feduc.2020.614641.pdf,10.3389/feduc.2020.614641,Academic Leadership During a Pandemic: Department Heads Leading With a Focus on Equity,9
83,10.59141_jrssem.v3i5.301.pdf,10.59141/jrssem.v3i5.301,Transformational Educational Leadership Effect On Staff Members Engagement: The Mediating Impact Of Intrinsic Motivation,16
84,10.31004_obsesi.v5i1.513.pdf,10.31004/obsesi.v5i1.513,Kinerja OCB pada guru PAUD ditinjau dari Educational leadership dan Integritas,19
85,10.21093_di.v21i2.3716.pdf,10.21093/di.v21i2.3716,The Principles of Educational Leadership in the Perspective of the Qur’an,5
86,10.53761_3asbn592.pdf,10.53761/3asbn592,Educational Leadership: A Fifteen Year Bibliometric Review,20
87,10.1111_ejed.12636.pdf,10.1111/ejed.12636,Perceived changes in transformational leadership: The role of motivation and perceived skills in educational leadership training under an <scp>EU‐China</scp> cooperation project,16
88,10.1186_s12909-025-07269-6.pdf,10.1186/s12909-025-07269-6,Psychometric properties of the educational leadership scale for nursing students,14
89,10.47772_ijriss.2021.5111.pdf,10.47772/ijriss.2021.5111,The Growing Role of Big Data in Education and its Implications for Educational Leadership,3
90,10.35723_ajie.v7i2.402.pdf,10.35723/ajie.v7i2.402,Optimizing Educational Leadership: Building Sustainable Education in the 5.0 Era,5
91,10.1177_17411432241294171.pdf,10.1177/17411432241294171,Educational leadership styles and practices perceived by academics: An exploratory study of selected Chinese universities,16
92,10.26907_esd.18.4.04.pdf,10.26907/esd.18.4.04,Role of Educational Leadership for Sustainable Development,11
93,10.18844_cerj.v10i3.4968.pdf,10.18844/cerj.v10i3.4968,"Challenges that contribute to low participation of women in educational leadership at government primary schools, Ethiopia",9
94,10.54097_jeer.v2i1.5416.pdf,10.54097/jeer.v2i1.5416,The development direction of educational leadership in the context of globalization,11
95,10.51276_edu.v4i2.411.pdf,10.51276/edu.v4i2.411,Mapalus In Educational Leadership,5
96,10.52223_jess.2024.5225.pdf,10.52223/jess.2024.5225,The Influence of Emotional Intelligence in Educational Leadership and School Climate,16
97,10.2478_atd-2020-0022.pdf,10.2478/atd-2020-0022,"Differences and Similarities between Coaching, Instructional and Educational Leadership Styles",16
98,10.30828_real.1421708.pdf,10.30828/real.1421708,Educational Leadership and Social Justice: 4.0,9
99,10.46303_repam.2020.8.pdf,10.46303/repam.2020.8,Book Review. Educational leadership and management: Developing insights and skills,9
100,10.28991_esj-2022-06-04-016.pdf,10.28991/esj-2022-06-04-016,Neuroleadership as an Asset in Educational Settings: An Overview,16
101,10.1007_s41463-024-00181-z.pdf,10.1007/s41463-024-00181-z,The Development of a New Model of Educational Leadership: Leadership for Teacher Flourishing,16
102,10.22329_jtl.v16i1.6830.pdf,10.22329/jtl.v16i1.6830,Decolonizing Educational Leadership: Exploring Alternative Approaches to Leading Schools,9
103,10.28991_esj-2021-01286.pdf,10.28991/esj-2021-01286,Associations between Traditional and Digital Leadership in Academic Environment: During the COVID-19 Pandemic,16
104,10.1007_s43621-022-00072-z.pdf,10.1007/s43621-022-00072-z,Reflections on educational leadership for sustainability: a Brazilian case study,9
105,10.1365_s42681-020-00016-z.pdf,10.1365/s42681-020-00016-z,"Educational leadership research, Twitter and the curation of followership",20
106,10.24818_rmci.2021.1.74.pdf,10.24818/rmci.2021.1.74,Educational Leadership and ICT Implementation in Israeli Arab Sector – towards a Model of Hybrid Leadership,3
107,10.5038_2577-509x.4.2.1040.pdf,10.5038/2577-509x.4.2.1040,"Educational leadership, leader-member exchange and teacher self-efficacy",16
108,10.1186_s41239-025-00517-1.pdf,10.1186/s41239-025-00517-1,Artificial intelligence in educational leadership: a comprehensive taxonomy and future directions,3
109,10.1186_s12912-023-01254-4.pdf,10.1186/s12912-023-01254-4,Development of the educational leadership scale for nursing students: a methodological study,14
110,10.30560_jems.v3n1p13.pdf,10.30560/jems.v3n1p13,"Educational Leadership Effectiveness. Is it a Matter of a Leader’s Characteristics, Behaviors, or Leadership Style?",16
111,10.1080_13603124.2021.1972162.pdf,10.1080/13603124.2021.1972162,Leadership for learning as an organization-wide practice: evidence on its multilevel structure and implications for educational leadership practice and research,14
112,10.28991_esj-2021-01252.pdf,10.28991/esj-2021-01252,Transformational Leadership and Digital Skills in Higher Education Institutes: During the COVID-19 Pandemic,16
113,10.21423_awlj-v30.a303.pdf,10.21423/awlj-v30.a303,Gender Issues in K-12 Educational Leadership,9
114,10.1007_978-3-030-99097-8.pdf,10.1007/978-3-030-99097-8,The Palgrave Handbook of Educational Leadership and Management Discourse,9
115,10.1080_00131911.2021.1944494.pdf,10.1080/00131911.2021.1944494,Understanding educational leadership: critical perspectives and approaches,9
116,10.17275_per.22.20.9.1.pdf,10.17275/per.22.20.9.1,Developing a guiding model of educational leadership in higher education during the COVID-19 pandemic: A grounded theory study,16
117,10.4324_9781003360070-12.pdf,10.4324/9781003360070-12,Islamic educational leadership,15
118,10.32873_unl.dc.jwel.pdf,10.32873/unl.dc.jwel,Journal of Women in Educational Leadership,9
119,10.22633_rpge.v24i2.13255.pdf,10.22633/rpge.v24i2.13255,"Nova gestão pública, educação e gestão escolar",8
120,10.1371_journal.pone.0227519.pdf,10.1371/journal.pone.0227519,Educators’ perceptions of organisational readiness for implementation of a pre-adolescent transdisciplinary school health intervention for inter-generational outcomes,18
121,10.36941_ajis-2021-0053.pdf,10.36941/ajis-2021-0053,Impact of Student Learning at Home Prevent Pandemic Covid-19 in Indonesia,5
122,10.47577_tssj.v50i1.9932.pdf,10.47577/tssj.v50i1.9932,School-Based Management From the Viewpoint of the Principal's Leadership (Study at State Vocational School 1 Bone),5
123,10.21070_ijemd.v14i.589.pdf,10.21070/ijemd.v14i.589,Literature Study on Implementation of Elementary School Student Character Education,17
124,10.17478_jegys.1012179.pdf,10.17478/jegys.1012179,Creating and leading a learning environment in diverse Foundation Phase classrooms in a South African school,11
125,10.46303_ressat.2022.3.pdf,10.46303/ressat.2022.3,Exploring Perceived Human Resources Factors Influencing the Performance of Grade 12 Accounting Learners in North West Secondary Schools in South Africa,11
126,10.22633_rpge.v24i1.12865.pdf,10.22633/rpge.v24i1.12865,"Nexos entre gestão, avaliação e o índice de desenvolvimento da educação básica (IDEB) em escolas públicas",8
127,10.26877_mpp.v16i1.12148.pdf,10.26877/mpp.v16i1.12148,Transformasi Digital Manajemen Pendidikan,15
128,10.17648_acta.scientiae.7474.pdf,10.17648/acta.scientiae.7474,ChatGPT as Co-Advisor in Scientific Initiation: Action Research with Project-Based Learning in Elementary Education,11
129,10.54097_fbem.v3i3.298.pdf,10.54097/fbem.v3i3.298,Influencing Factors and Intervention Strategies of Teachers' Work Engagement in Primary and Secondary Schools,16
130,10.51276_edu.v4i2.380.pdf,10.51276/edu.v4i2.380,The Effect of Direct Compensation and Work Motivation on Teacher Productivity at Private Senior High School in Jakarta,13
131,10.37934_frle.25.1.19.pdf,10.37934/frle.25.1.19,Recruitment Criteria for Teachers’ Retention in Malaysian International Schools: A Concept Paper,11
132,10.5539_ies.v13n4p106.pdf,10.5539/ies.v13n4p106,Enhancement of College English Teachers’ Information Literacy in Information Environment,3
133,10.36941_jesr-2020-0034.pdf,10.36941/jesr-2020-0034,Factors Influencing the Principal's Leadership and Its Impact on Learning Quality and Learning Outcome,13
134,10.2991_assehr.k.211110.092.pdf,10.2991/assehr.k.211110.092,Online Learning Implementation During the COVID-19 Pandemic,3
135,10.3389_fpsyt.2024.1414887.pdf,10.3389/fpsyt.2024.1414887,Association of parental rearing styles with suicidal ideation in Chinese adolescent patients with depression: a large-scale cross-sectional study,18
136,10.11591_ijai.v13.i4.pp3942-3950.pdf,10.11591/ijai.v13.i4.pp3942-3950,Navigating the tech-savvy generation; key considerations in developing of an artificial intelligence curriculum,3
137,10.2991_978-2-38476-114-2_11.pdf,10.2991/978-2-38476-114-2_11,The Implementation of Malcolm Baldrige Education Criteria for Performance Excellence in Private Primary School Management (A Case Study Qualitative),5
138,10.5590_jerap.2024.14.1.04.pdf,10.5590/jerap.2024.14.1.04,The Use of Assistive Technology for Students With Disabilities in Technical Colleges in Ondo State,3
139,10.30596_maneggio.v3i1.4741.pdf,10.30596/maneggio.v3i1.4741,"Pengaruh Pengawasan, Motivasi dan Disiplin Terhadap Kinerja Guru pada Yayasan Pendidikan Islam Terpadu Kuntum Bumi Rantauprapat",19
140,10.18844_cjes.v16i5.6331.pdf,10.18844/cjes.v16i5.6331,"Implementation of community-based education management: A case study of Islamic boarding schools in Bengkulu City, Indonesia",5
141,10.3389_fpsyg.2025.1548185.pdf,10.3389/fpsyg.2025.1548185,The relationship between the principals’ emotional intelligence and conflict management: based on latent profile analysis,16
142,10.24036_nara.v1i3.69.pdf,10.24036/nara.v1i3.69,Problematika Layanan Bimbingan dan Konseling di Sekolah,15
143,10.55737_qjss.349319430.pdf,10.55737/qjss.349319430,"The Role of Artificial Intelligence (AI) In Transforming Educational Practices: Opportunities, Challenges, and Implications",3
144,10.24256_kelola.v8i1.3556.pdf,10.24256/kelola.v8i1.3556,KOLABORASI SEKOLAH DENGAN ORANG TUA DALAM MENINGKATKAN PROSES BELAJAR PESERTA DIDIK,15
145,10.3389_feduc.2025.1499064.pdf,10.3389/feduc.2025.1499064,"Fostering a productive educational environment: the roles of leadership, management practices, and teacher motivation",16
146,10.54476_iimrj310.pdf,10.54476/iimrj310,"Issues, Perceptions, and Challenges of Amalgamation in Higher Education Institutions in Calabarzon: Quality School Management Strategic Plan",11
147,10.1080_13632434.2021.1974826.pdf,10.1080/13632434.2021.1974826,Fighting windmills: a female principal's story during COVID-19,18
148,10.15388_infedu.2020.20.pdf,10.15388/infedu.2020.20,Visual Analysis of Contact Patterns in School Environments,3
149,10.58837_chula.educu.48.3.20.pdf,10.58837/chula.educu.48.3.20,Proposed School Management Strategies to Strengthen the Consciousness and Practices of Students to Reduce Global Warming(การนำเสนอกลยทธการบรหารโรงเรยนเพอเสรมสรางจตสำนกและการปฏบตของนกเรยนในการลดภาวะโลกรอน),11
150,10.26689_jcer.v8i7.7800.pdf,10.26689/jcer.v8i7.7800,Study on the Coordination Mechanism Between Higher Vocational Students’ Career Development Planning and School Management,3
151,10.29333_iji.2020.13428a.pdf,10.29333/iji.2020.13428a,Teachers' Professional Development Level across Cohort of Generations in Malaysia,11
152,10.22633_rpge.v25iesp.2.15266.pdf,10.22633/rpge.v25iesp.2.15266,District school officials of the Kazan Province in the school management system in the first half of the 19th century,11
153,10.5212_praxeduc.v.15.15335.069.pdf,10.5212/praxeduc.v.15.15335.069,Políticas conservadoras no contexto escolar e autonomia docente,8
154,10.21744_lingcure.v5ns3.1905.pdf,10.21744/lingcure.v5ns3.1905,Implementation of Java cultural education in elementary school in Yogyakarta,5
155,10.31876_rcs.v26i0.34134.pdf,10.31876/rcs.v26i0.34134,Liderazgo pedagógico en Arequipa-Perú: Competencias directivas,6
156,10.21744_irjmis.v8n2.1350.pdf,10.21744/irjmis.v8n2.1350,Character education strategies in improving students' spiritual intelligence,5
157,10.35723_ajie.v6i1.222.pdf,10.35723/ajie.v6i1.222,Strategy Management Semi-Islamic Boarding Schools,5
158,10.47200_aoej.v14i2.2130.pdf,10.47200/aoej.v14i2.2130,IMPLEMENTASI LANDASAN PENDIDIKAN DALAM MENGOPTIMALKAN PERAN GURU DAN MANAJEMEN SEKOLAH DALAM MENCEGAH PERILAKU BULLYING,17
159,10.22633_rpge.v24i2.13609.pdf,10.22633/rpge.v24i2.13609,A eleição direta de diretor escolar: desafios na gestão democrática no município de Medicilândia – Pará,8
160,10.58578_masaliq.v1i3.43.pdf,10.58578/masaliq.v1i3.43,Peran Pendidik dalam Meningkatkan Manajemen Sekolah pada Masa Pandemi,15
161,10.52223_jess.2024.5236.pdf,10.52223/jess.2024.5236,Eco-Friendly Practices in School Management: A Case Study of Sustainability in Pakistani Elementary Schools,11
162,10.2991_assehr.k.210226.001.pdf,10.2991/assehr.k.210226.001,CALL in Asia During Covid-19 and Models of E-Learning,3
163,10.31703_gssr.2020(v-i).37.pdf,10.31703/gssr.2020(v-i).37,Need Analysis of School Management Information System for Public Schools in Punjab (Pakistan),3
164,10.22633_rpge.v24iesp2.14331.pdf,10.22633/rpge.v24iesp2.14331,Desafios da gestão nas escolas das águas,8
165,10.5296_jpag.v12i2.20146.pdf,10.5296/jpag.v12i2.20146,Transparency and Accountability of Managing School Financial Resources,11
166,10.2991_assehr.k.200303.026.pdf,10.2991/assehr.k.200303.026,Study of Higher School Management for International Level Acceleration in Muhammadiyah University of Malang,3
167,10.30828_real.1485901.pdf,10.30828/real.1485901,School Management Activities in a Digital Age: An International Comparison Based on ICILS 2018,3
168,10.35931_aq.v19i1.4306.pdf,10.35931/aq.v19i1.4306,Entrepreneurship-Based School Management Model to Increase Entrepreneurial Interest of Vocational Education Students at SMK Negeri 5 Padang,5
169,10.2991_assehr.k.210716.269.pdf,10.2991/assehr.k.210716.269,The Effect of School Leadership and Management on Teacher Performance in Cluster IV of East Baturaja,5
170,10.29322_ijsrp.12.01.2022.p12164.pdf,10.29322/ijsrp.12.01.2022.p12164,A Proposed Evaluation Framework for School Management Information Systems (SMIS) in secondary schools,13
171,10.1007_978-981-15-7497-9_4.pdf,10.1007/978-981-15-7497-9_4,Creating a Space for Innovative Learning: The Importance of Engaging the Users in the Design Process,9
172,10.29103_ijevs.v2i8.2759.pdf,10.29103/ijevs.v2i8.2759,Indonesian School Management Overseas (Case Study in Indonesia Kuala Lumpur School),5
173,10.60027_jelr.2025.1759.pdf,10.60027/jelr.2025.1759,"Building Collaboration Between Educational Institutions and Communities Impacting School Management: A Case Study of Guangzhou Vocational College of Technology, Guangzhou Open University, China",3
174,10.61987_jemr.v4i5.1191.pdf,10.61987/jemr.v4i5.1191,School Management Strategies for Improving Teacher Performance Through Clinical Supervision,11
175,10.1371_journal.pone.0308239.pdf,10.1371/journal.pone.0308239,"Sources of stress, coping strategies and associated factors among Vietnamese first-year medical students",18
176,10.4108_eai.27-8-2020.2303223.pdf,10.4108/eai.27-8-2020.2303223,The Implementation of Tahfidz Islamic Boarding School Management Based on Ziswaf Fundings,5
177,10.12928_spekta.v6i1.11872.pdf,10.12928/spekta.v6i1.11872,Training on School Management Health Diagnostics Using the SIDIKMAS-BRO Application,3
178,10.1007_s10758-022-09638-2.pdf,10.1007/s10758-022-09638-2,"Correction: Same, but Different? Digital Transformation in Swiss Vocational Schools from the Perspectives of School Management and Teachers",14
179,10.18860_rosikhun.v3i2.19070.pdf,10.18860/rosikhun.v3i2.19070,Optimizing the Quality of Islamic Education through School Management and Learning Process,5
180,10.1186_s12909-022-03262-5.pdf,10.1186/s12909-022-03262-5,“I have to do twice as well” – managing everyday racism in a Swedish medical school,18
181,10.46303_ressat.2024.28.pdf,10.46303/ressat.2024.28,Investigation into the Challenges Experienced by School Management Teams (SMTs) Post-Pandemic in Rural High Schools in the Mopani-West Education District,11
182,10.22521_edupij.2024.131.1.pdf,10.22521/edupij.2024.131.1,School Leadership and Management in the Age of Artificial Intelligence (AI): Recent Developments and Future Prospects,3
183,10.3389_feduc.2023.1171513.pdf,10.3389/feduc.2023.1171513,Transformational educational leaders inspire school educators’ commitment,16
184,10.4108_eai.29-6-2019.2290281.pdf,10.4108/eai.29-6-2019.2290281,School Management of Social Capital Based To Improve Teacher’s Performance,5
185,10.37899_journallaedusci.v6i3.2335.pdf,10.37899/journallaedusci.v6i3.2335,Anak Rimba School Management Strategy for the Preservation of Local Wisdom in Sarolangun Regency: A Literature Review of the Development of Environment-Based Teaching Materials,20
186,10.3846_jbem.2020.13675.pdf,10.3846/jbem.2020.13675,MULTI-CRITERIA RANKING OF ORGANIZATIONAL FACTORS AFFECTING THE LEARNING QUALITY OUTCOMES IN ELEMENTARY EDUCATION IN SERBIA,13
